jumlah_kompetitor_500m,jumlah_pendidikan_500m,jumlah_wisata_500m,jumlah_perkantoran_500m,jumlah_hotel_500m,jumlah_rth_500m,jumlah_halte_500m,jumlah_mall_500m,jumlah_rs_500m,jumlah_bank_500m,jarak_ke_jalan,label
2,10,1,7,3,1,5,0,2,0,40.25094685658574,1
1,11,1,5,2,1,18,2,4,0,45.7200901378493,1
0,12,0,7,0,0,2,0,3,1,72.68115338514961,1
0,10,0,4,0,0,7,1,5,0,7.467492554222092,1
1,4,3,5,0,4,4,0,0,2,36.19988127811556,1
2,3,26,2,1,5,10,0,0,0,24.322717000166193,1
2,11,0,6,2,0,10,0,4,3,17.481607278886163,1
2,4,0,1,0,0,10,0,0,7,9.771398605765013,1
9,8,3,4,2,3,12,0,4,6,48.985609955707694,1
1,10,0,4,6,0,1,0,2,0,149.46344606478712,1
6,15,2,4,11,2,4,2,0,6,14.923934020839804,1
8,1,2,11,7,3,14,5,5,8,52.624844004843816,1
1,5,0,2,0,1,0,0,1,0,11.343688601828445,1
1,14,0,3,0,0,13,1,6,2,7.7506394506975465,1
2,1,0,1,0,0,10,0,0,9,20.375257332993755,1
3,16,4,9,0,2,0,1,5,2,2.662064481525849,1
0,7,1,3,2,1,2,0,1,0,19.44026058594128,1
4,7,2,6,2,2,7,3,4,7,13.904608007600547,1
0,17,0,8,4,0,4,1,1,5,77.55066385464956,1
0,10,2,12,5,2,11,2,4,8,58.63176636912754,1
4,14,2,10,9,8,10,0,2,9,24.132419457878253,1
0,4,0,1,1,0,3,1,2,0,6.493050549189049,1
1,3,0,2,3,0,6,0,0,0,23.848814194298523,1
1,9,2,8,7,2,0,0,2,1,11.397621497361024,1
2,10,2,11,8,2,1,3,3,7,12.671904368845883,1
6,8,0,13,7,6,11,1,1,4,2.4802246673025703,1
6,6,6,30,24,8,9,1,2,15,51.14407212150687,1
6,6,1,3,0,0,4,1,2,2,14.055897908235867,1
9,4,1,6,3,0,0,1,3,9,44.52538198649437,1
1,14,0,2,0,0,8,0,3,2,9.545731767910574,1
2,9,3,21,5,5,5,1,0,20,22.143155422722625,1
10,2,1,18,5,1,4,4,0,4,38.60230315749921,1
7,7,10,17,12,11,14,3,2,9,46.206529938256956,1
3,6,0,5,1,0,7,0,2,0,42.967133795996375,1
8,6,5,18,9,6,15,3,3,1,22.54223584872546,1
1,8,0,3,2,0,1,0,2,0,75.2317906653578,1
2,8,1,7,7,7,8,1,3,15,16.73401305807591,1
0,3,0,2,0,0,0,0,2,0,84.69226489243924,1
8,9,3,13,15,2,20,2,4,6,61.519021668188905,1
8,3,1,14,4,1,4,4,0,3,121.79452763301157,1
8,7,2,8,10,5,16,4,4,5,5.964089959475564,1
1,13,0,4,0,0,2,1,2,2,1.1134856647660512,1
0,13,1,3,2,1,16,0,6,0,60.86429818063636,1
0,7,0,1,0,0,0,1,1,0,9.081794235788088,1
16,11,3,16,13,4,3,7,3,10,19.181880327193113,1
1,3,1,3,0,1,9,0,0,2,85.19561516017883,1
0,12,0,7,0,0,0,2,2,1,6.351254402251003,1
9,8,6,6,7,6,11,2,1,3,9.020457686270257,1
0,8,4,4,5,15,0,1,2,9,45.824612361451074,1
0,25,0,9,0,0,2,0,4,0,15.385888458278263,1
3,7,0,7,3,5,11,0,4,2,22.97245426232722,1
1,2,0,17,4,0,6,1,1,7,93.03001117053986,1
1,18,1,7,2,1,6,0,3,3,31.45082010523397,1
0,5,2,5,1,3,5,1,2,1,6.901179410223404,1
0,4,0,5,0,0,6,1,2,0,23.428913925069125,1
0,7,0,6,2,0,0,0,4,0,8.028493777571846,1
0,4,0,0,0,0,0,0,1,0,29.344761515142263,1
0,1,0,0,0,0,10,0,0,0,49.706165411799326,1
5,11,1,9,0,1,1,1,0,1,15.846947213476314,1
1,12,1,8,2,3,4,0,5,1,0.311541017400303,1
1,5,0,4,9,0,7,1,0,19,21.499947993200646,1
0,8,0,0,0,0,0,3,0,0,169.5127511558286,1
3,16,0,9,7,2,2,0,6,9,21.099753997167,1
4,2,0,2,4,0,6,0,1,4,5.8258418530336336,1
4,14,0,12,6,0,8,2,1,4,10.453694654152194,1
11,12,1,4,4,0,2,1,1,11,23.871780939549733,1
6,13,4,12,10,3,10,5,0,7,19.17458745142683,1
1,11,13,4,4,21,12,0,2,0,41.176418996208035,1
3,2,0,5,2,0,6,0,5,1,22.858668512302646,1
1,16,0,13,1,0,8,0,3,0,31.575031684058615,1
5,4,6,2,2,5,7,0,1,10,1.3203639119367794,1
5,9,4,11,2,5,12,2,3,2,11.756834569504525,1
0,0,0,2,0,0,1,0,1,1,18.71480046016335,1
1,1,0,1,1,0,7,0,0,9,14.133071761668441,1
1,3,1,3,1,2,3,0,0,1,16.72720751101665,1
3,15,3,5,0,1,2,2,9,4,13.920000094409207,1
1,3,1,4,0,2,1,0,0,0,25.520032304153588,1
1,2,2,4,0,2,6,0,0,6,98.51079770312342,1
0,6,0,3,0,1,1,1,1,0,67.55714984727649,1
0,13,0,5,0,1,0,1,2,1,10.131557586159927,1
1,5,2,4,0,2,6,0,0,4,25.519544496641583,1
1,4,1,0,0,1,2,2,2,0,17.38198611513192,1
21,7,10,23,19,11,16,8,1,13,14.896006302183723,1
6,4,1,4,3,0,12,0,5,5,9.229577135407835,1
0,4,0,15,1,0,0,0,4,0,64.42869576632164,1
16,8,7,20,19,10,9,8,1,13,74.22957683664289,1
2,9,1,1,0,1,8,0,3,1,0.748220339007955,1
6,3,9,14,13,10,13,0,4,5,17.229509895507046,1
0,11,1,7,2,2,4,1,1,3,16.17619347415839,1
1,4,1,5,2,1,13,0,0,2,14.529663328842467,1
1,10,5,6,0,8,5,2,3,1,0.8468178168676985,1
1,6,0,4,0,0,3,0,3,3,1.6141988149710238,1
0,10,0,8,3,0,9,2,2,4,8.580103410621065,1
0,7,0,3,1,0,6,0,0,0,14.965219911220615,1
0,8,0,4,0,0,1,1,1,0,12.20453290506043,1
3,20,2,8,1,2,8,4,0,2,1.5609506004903022,1
3,15,2,8,0,2,6,3,1,2,30.185852829394317,1
6,6,5,24,19,5,7,2,2,9,22.973130567703617,1
3,6,0,16,6,0,6,1,1,6,14.298875691148247,1
1,17,0,6,1,0,5,1,0,2,16.522081409830612,1
2,13,0,10,3,2,7,0,5,5,8.566170779766832,1
1,5,0,4,1,0,10,1,0,5,8.634258778356445,1
4,10,0,12,6,6,4,1,2,10,2.9645865679735097,1
3,6,0,6,3,0,15,0,5,4,1.55089564420488,1
0,18,0,17,2,0,2,1,8,1,2.2839648463661097,1
10,4,2,15,5,2,3,2,1,17,1.3134994435186615,1
0,12,0,14,3,0,11,2,2,4,16.88512558918004,1
4,16,0,16,0,0,2,0,2,0,15.250594088904895,1
1,4,0,2,0,0,5,0,0,0,1.9558644283832671,1
1,1,7,4,0,7,4,1,2,0,2.0973071569289004,1
6,4,4,30,3,6,4,2,1,25,34.74752000935285,1
14,8,11,14,21,15,12,7,1,14,38.36583429993078,1
1,5,1,3,2,1,0,0,1,1,35.43700593273316,1
1,7,0,3,2,0,12,2,4,0,11.082987848664617,1
2,9,1,11,1,1,3,0,1,5,9.620489315667307,1
1,6,2,19,9,3,4,3,0,16,11.57349005293432,1
1,6,1,7,0,1,9,1,1,0,28.641046188489817,1
2,6,17,4,1,19,6,0,2,6,0.5649263312520555,1
0,14,5,3,1,16,9,1,1,0,11.187310542649366,1
1,6,0,11,3,0,7,1,1,7,21.516452644453313,1
2,9,0,9,1,0,10,1,1,6,4.87066184595237,1
1,5,3,4,1,3,2,1,0,0,1.8451804164552024,1
2,21,6,19,0,6,2,1,4,7,4.4830622151508415,1
1,3,27,8,0,5,9,1,0,3,23.15304052562272,1
1,3,1,4,0,1,6,0,2,0,11.197141648048092,1
2,6,2,7,4,2,8,2,2,18,93.28463629370316,1
4,20,2,5,12,2,2,0,0,5,3.4611891531151273,1
1,9,0,6,0,0,2,0,3,3,4.585033188418048,1
5,5,5,6,13,5,10,0,4,4,4.651102671276733,1
6,7,1,4,1,1,6,0,5,8,22.42725738210671,1
20,11,5,25,19,7,5,9,2,13,9.720424405006879,1
10,6,8,21,13,9,10,2,3,8,15.811198298491293,1
1,11,1,12,3,1,6,0,0,0,34.74027314741478,1
1,4,2,7,3,2,9,1,2,1,22.371522524217166,1
